feature,xgb_gain,shap_mean_abs,perm_importance,mutual_info,xgb_gain_norm,shap_mean_abs_norm,perm_importance_norm,mutual_info_norm,composite_score
V258,6847.38916015625,0.23911971,0.0024380495682365445,0.0297615888076439,1.0,0.92942894,0.15054681975950482,0.8729684281217777,0.7382360457330618
TransactionAmt,99.39312744140625,0.23167793,0.012332057669459195,0.03220403960098395,0.014515478106569045,0.9005037,0.548294006110196,0.9446105183209146,0.6019809243872046
card1,94.305908203125,0.16149595,0.009649609154484474,0.03174096610226962,0.013772535195147729,0.62771493,0.44045739040842197,0.9310276230363163,0.5032431201511901
C1,206.4957733154297,0.17012464,0.023568297462683276,0.010038601348413723,0.030156862489573718,0.6612536,1.0,0.2944527624618991,0.49646579911544697
V70,3433.132568359375,0.20586096,0.005089719640478307,0.009034497183567636,0.5013783338525826,0.8001563,0.2571461169881134,0.2650003283152689,0.4559202686138737
C13,147.40191650390625,0.25727594,0.00805360639665953,0.011706384595692176,0.02152673275262519,1.0,0.37629677927506655,0.34337226502053164,0.43529894426205584
card2,89.77523803710938,0.13738075,0.010214336235865252,0.023201456847144808,0.013110871302524422,0.5339821,0.4631598791649741,0.6805463056725395,0.42269978856065193
C14,527.033935546875,0.19280699,0.008880839310291311,0.009793569054374895,0.07696859682133922,0.7494171,0.4095522163524898,0.28726546282044957,0.380800850543255
card6,327.1926574707031,0.18473631,0.0061276082301258365,0.011284242015302093,0.04778356389827812,0.7180474,0.2988700838632546,0.3309899575023338,0.34892274642781357
C5,305.6997375488281,0.18142602,0.005824910863385546,0.007201413465982354,0.04464471499993618,0.70518064,0.2867014031117363,0.21123222400139402,0.31193974677552
V201,1183.262939453125,0.014804825,-0.0006665642754562606,0.0331135694058986,0.172804978916391,0.057544537,0.025738813903756527,0.9712888925588626,0.3068443055669024
TransactionDT,88.85555267333984,0.18639322,0.0,0.014220229892775826,0.012976559473262398,0.72448754,0.052535240829246106,0.41710850241430963,0.3017769614557243
C11,225.77415466308594,0.13476296,0.010815502437961233,0.0054483336085793255,0.03297229781780564,0.52380705,0.487327250261351,0.1598107969606437,0.3009793484593519
V294,1751.849853515625,0.11814486,0.0059646716787422616,0.006086343565656405,0.2558420169411913,0.45921457,0.2923199017526807,0.17852493728948837,0.29647535603037073
C2,112.32894897460938,0.09575665,0.0089889149728837,0.00988768144731722,0.016404639249691214,0.37219435,0.41389694603830807,0.29002597229004273,0.27313047683595487
V246,14.148778915405273,0.00015225152,-2.035734739758155e-06,0.034092399964196884,0.0020663027300587096,0.00059178297,0.052453402634187914,1.0,0.2637778720834173
D1,108.94770812988281,0.13150266,0.004993422862008323,0.008046585931017258,0.01591083923838159,0.5111347,0.2532749080403121,0.23602286549106583,0.25408582421390136
addr1,79.25401306152344,0.09112636,0.00848748421859813,0.008607590885076677,0.011574340410311213,0.35419697,0.39373902119871307,0.2524782911768073,0.2529971546200648
card5,88.01956176757812,0.100507334,0.006581509548070219,0.009622348114542545,0.012854470471716202,0.39065966,0.3171172866395428,0.2822432015536522,0.25071865469146204
V200,13.44635009765625,0.00029694758,2.159866757491802e-05,0.03136375842142636,0.0019637192779838174,0.0011541988,0.05340352486226463,0.919963348264244,0.24412119779535574
D8,74.15348815917969,0.0311846,0.0007426839104047733,0.025051427748808974,0.010829454325550205,0.12121072,0.08239173909458747,0.7348097457238989,0.23731041395220692
V218,2031.41943359375,0.015055444,0.0004318143927084073,0.01780203797519464,0.29667065593616637,0.058518663,0.0698945312167562,0.5221702782406038,0.23681353211056766
ProductCD,185.7243194580078,0.04753173,0.0017871247130026857,0.020304253349120227,0.027123377263074937,0.18475,0.12437911026844384,0.595565386140117,0.2329544698186181
D15,107.59246063232422,0.088990554,0.003955691713642406,0.011823360764786628,0.01571291745157202,0.34589535,0.21155727043295974,0.34680341592857267,0.22999223844812627
P_emaildomain,102.4458236694336,0.11121567,0.005851098470098015,0.006057055034893732,0.014961297112415894,0.43228167,0.28775416623670846,0.177665844623867,0.22816574523188768
id_17,157.21420288085938,0.03228813,0.00045231476507794354,0.02334928559665772,0.022959729497435476,0.1255,0.07071866288773361,0.6848824260298085,0.226015202994419
V259,40.506988525390625,0.0014231963,0.00038597621717044727,0.027670121762923827,0.005915683712135663,0.0055317893,0.06805179921561506,0.8116214109884432,0.22278017079637305
V188,28.56939697265625,0.0004765007,3.0281838788059902e-06,0.028310913513613034,0.004172305137686132,0.0018520997,0.05265697628824566,0.8304171470282102,0.22227463203036132
V257,20.179889678955078,0.00065186317,0.0001659256594743752,0.027852974457426738,0.002947092564327773,0.0025337122,0.059205587520306545,0.8169848554715227,0.22041781193691606
id_20,60.60065841674805,0.021844221,0.00043213155153114523,0.024024225147502465,0.00885018464692683,0.08490581,0.06990728125982063,0.7046797870707898,0.21708576590792517
V243,40.136253356933594,0.0023430677,1.8892953790761168e-06,0.027086537936636956,0.0058615411535946245,0.009107216,0.05261119204270025,0.7945037006805817,0.21552091253455097
V199,16.051599502563477,0.00022523741,2.2909034289653186e-05,0.027296974376134875,0.0023441926736054238,0.00087547017,0.05345620267175714,0.8006762329669246,0.21433802462064316
V244,65.56710052490234,0.0024872136,1.3181059970190922e-05,0.026608147555220008,0.00957548913773234,0.009667494,0.053065130178701486,0.7804715298178867,0.21319491086715026
V45,143.9838409423828,0.00975019,0.0007938678813617317,0.023833671724643235,0.021027553360074728,0.03789779,0.08444937642680977,0.6990904644340924,0.21061629648361327
id_19,45.650028228759766,0.017897576,-0.0005520183452553118,0.02484476365736099,0.006666778703683037,0.06956568,0.03034365361878768,0.7287478641413463,0.20883099501677593
D2,206.68789672851562,0.086197674,0.003363354742742586,0.009417098301493398,0.030184920397280185,0.3350398,0.18774484162387273,0.27622280365662244,0.2072980900307033
V190,26.971786499023438,0.000101739904,1.1861967594084532e-05,0.02628056776634846,0.003938988403925909,0.0003954505,0.05301210159051303,0.7708629428830988,0.20705237084643993
D4,95.7681884765625,0.084638596,0.0034780197971904015,0.009970168173571103,0.013986088162451858,0.32897982,0.19235447023067884,0.29244547711635327,0.20694146388063256
V87,117.41275787353516,0.009283376,0.0006493204716680357,0.02368695821492106,0.017147084111523745,0.036083344,0.07863845279386436,0.6947870563467694,0.20666398440557104
V187,458.1070556640625,0.024023958,0.0006925420869189569,0.01938219840675104,0.06690244193067142,0.09337817,0.08037599693974609,0.5685196239368837,0.20229405853300778
V189,51.954586029052734,0.0043383166,0.00013658884775344938,0.02474196012069263,0.007587503034202774,0.016862504,0.05802622378832655,0.7257324256044195,0.20205216415279872
card3,144.71263122558594,0.02849595,0.0015639295028171407,0.018953079546085272,0.021133986668618633,0.110760264,0.11540648098109958,0.5559326878128086,0.20080835489029275
V230,17.37329864501953,0.0002543451,-0.00023508221663381956,0.02560237664643772,0.0025372150229333672,0.0009886082,0.04308474419829725,0.7509702066538229,0.19939519352530838
