feature,mean_abs_shap
amount_drift,0.2801818162747685
D3,0.26350694509548384
D2,0.16324553448742665
id_17,0.141958353447103
D15,0.1371497146122215
D4,0.11392386807056787
D5,0.0926635773180265
D8,0.08798750233832749
D10,0.07304939773334086
D1,0.06992728709448988
D11,0.06666650992391066
TransactionDT,0.05675338018078031
email_drift,0.050903343236727155
temporal_drift,0.04747933109367045
composite_drift,0.039681897981909645
DeviceType,0.03569475725040672
P_emaildomain,0.028733891738124174
DeviceInfo,0.028556360289597092
D13,0.027747895045627042
R_emaildomain,0.026653181293359744
id_20,0.025761242879380922
id_35,0.02230063253852466
id_19,0.01859414993763819
id_12,0.017135029141338944
id_31,0.01479923019060625
velocity_drift,0.014126003255396006
id_33,0.012567561958585424
D6,0.010767690388139123
id_30,0.009505997767080108
D9,0.009201063720093348
id_13,0.008794501965242743
id_15,0.008129245922145078
D12,0.008117768793880181
D14,0.007232720881407151
id_38,0.005572411729242239
id_14,0.005245046868267435
id_28,0.004541259715183283
D7,0.0018464008025307328
id_11,0.0012069600332982205
id_29,0.001200514950530699
id_32,0.0011575086268963894
id_21,0.0009745153784344873
id_36,0.0008058644657580979
id_16,0.0008018768449649501
id_37,0.0007736924119487538
id_34,0.0005683710707537619
id_26,0.0004600826471187901
id_18,0.00032173860552356506
id_10,0.0003066561373749734
id_23,0.000233913835962472
id_25,0.00012120717851528611
device_drift,5.174641527112291e-05
id_22,2.882900718395921e-05
id_24,6.666735789447939e-06
id_27,0.0
