feature,importance
V258,0.23911971
TransactionAmt,0.23167793
card1,0.16149595
C1,0.17012464
V70,0.20586096
C13,0.25727594
card2,0.13738075
C14,0.19280699
card6,0.18473631
C5,0.18142602
V201,0.014804825
TransactionDT,0.18639322
C11,0.13476296
V294,0.11814486
C2,0.09575665
V246,0.00015225152
D1,0.13150266
addr1,0.09112636
card5,0.100507334
V200,0.00029694758
D8,0.0311846
V218,0.015055444
ProductCD,0.04753173
D15,0.088990554
P_emaildomain,0.11121567
id_17,0.03228813
V259,0.0014231963
V188,0.0004765007
V257,0.00065186317
id_20,0.021844221
V243,0.0023430677
V199,0.00022523741
V244,0.0024872136
V45,0.00975019
id_19,0.017897576
D2,0.086197674
V190,0.000101739904
D4,0.084638596
V87,0.009283376
V187,0.024023958
V189,0.0043383166
card3,0.02849595
V230,0.0002543451
V242,0.000394294
C8,0.029975982
V186,8.641523e-05
V228,0.0004933635
C10,0.027521787
V245,0.0013188617
D10,0.07037071
id_31,0.02349091
V86,0.004049646
V176,0.0002963977
V229,0.00052789785
D11,0.051711015
V91,0.057500526
C6,0.075142294
V195,0.0
V222,0.0011018448
V170,0.00088918867
C4,0.021497771
dist1,0.048434142
DeviceInfo,0.017963506
id_02,0.02386795
R_emaildomain,0.04419404
V44,0.0031713168
V38,0.011234764
V171,0.0007938603
M6,0.07856642
V221,0.0013596782
id_35,0.00087281625
C12,0.013624234
id_01,0.024424085
V248,0.0002957186
V193,8.346966e-05
V264,0.0024497847
V212,0.00092442916
D9,0.008467577
V192,0.00046825825
V77,0.0032570744
V37,0.0033037388
V213,0.00019347052
V265,0.0028987806
C7,0.0021855182
C9,0.041238118
V219,0.002216613
V249,7.826126e-05
V256,0.00012122418
V252,0.00029920696
V255,5.2686246e-05
V191,0.00011801653
V247,0.00028593067
V274,0.0011659698
V204,0.00083460455
V211,0.00064678676
V312,0.044731002
V194,0.00024999486
V273,0.0005746461
V232,6.760397e-05
V217,0.0017203364
V275,0.0003150646
V263,0.0009950529
V231,0.00022662355
V202,0.0005635108
V90,0.02982697
V203,0.0019069802
V196,7.024538e-05
V53,0.024879318
V83,0.021181978
V179,0.00024937998
V233,0.00038860535
V251,0.0004173397
V151,0.0005862197
V82,0.02230978
V2,0.021492565
V197,0.0001776277
V310,0.028415235
V23,0.0035055992
V33,0.009691437
V123,0.00057359575
V62,0.014950301
V178,0.00043416128
V158,0.00051612814
V156,0.00213043
M3,0.025614487
V139,0.0023299146
V168,0.00020810615
V261,0.003535699
V122,8.123939e-05
V303,0.0021535188
V308,0.035571963
V149,0.0021115337
V317,0.021179883
V253,0.00059817685
V167,0.00066661503
V67,0.005531852
V47,0.0033228435
M4,0.020828007
V52,0.0024824496
V250,8.6677865e-05
V155,7.444681e-05
V40,0.0012224924
id_13,0.0067035165
id_14,0.009782011
V283,0.026726743
dist2,0.007803247
V51,0.0024335186
V114,8.8368855e-05
V79,0.0009248282
D3,0.04881721
V35,0.0057158642
D6,0.008197778
V177,0.0012745212
V153,0.0007260031
M5,0.06912017
V36,0.0046484247
V39,0.00091338396
V260,0.00045133368
V78,0.0030886536
V157,8.472355e-05
V50,0.0020466463
V92,0.002412138
V42,0.0006585904
V148,0.00028856748
V93,5.4362492e-05
V154,4.682436e-05
V75,0.00770043
V49,0.026726145
V241,0.0
V94,0.0012262358
V29,0.0047404026
V6,0.003965516
D5,0.017254423
V198,0.00021391785
V5,0.015608661
V304,0.001596185
V80,0.0002278264
V81,0.0017760552
V43,0.00096085673
V302,0.0001860577
V65,0.0
V84,0.00014011555
V15,0.0007639122
V12,0.008944917
V85,0.0022868202
V110,0.00014066447
V34,0.0064022234
V61,0.0075207627
id_33,0.016161846
D12,0.0015262984
V48,0.0112692565
id_32,0.0015457256
id_37,0.0011393232
id_12,0.00021562226
V254,0.00034718355
V73,0.0019484484
V74,0.0024287573
V19,0.008035297
V107,0.0
id_24,1.0387323e-05
V240,1.473508e-05
V20,0.0062479135
V115,0.0009658126
V262,0.0009577984
V9,0.0007145296
V1,0.0
V313,0.013312692
V31,0.00021645009
V58,0.0003167857
V69,0.007028044
V32,0.00031682855
V66,0.0021173721
V16,4.602692e-05
V30,0.0057352353
V314,0.013956376
V55,0.010175741
card4,0.027006522
V8,0.0016943306
V10,0.004752256
V120,0.0
V24,0.008271677
V125,0.0010397824
V59,0.00289843
V108,0.00036539012
V17,0.000168954
V11,0.012952632
id_30,0.013564046
V22,7.463088e-05
V315,0.0093247285
V57,0.0019497294
M9,0.01014494
V76,0.009603327
DeviceType,0.014727129
V64,0.0047837505
id_25,1.7087728e-05
V290,0.0025874435
V46,0.00039979047
V21,7.4867e-05
V282,0.00672136
M1,0.0
V112,0.00031963678
V72,0.0016568886
V26,0.0021445106
V18,7.532889e-05
M2,0.007908433
V71,0.0037349132
V305,0.0
id_34,0.0017756128
V117,2.9924702e-06
V56,0.0062296623
id_06,0.015722223
V113,0.0
V118,0.0001564738
V4,0.0030406555
V130,0.009210404
id_22,1.3694295e-05
V121,0.00021914791
id_07,0.0020935424
V277,0.0009458485
V63,0.001668726
V88,0.0
V54,0.009452689
V60,0.0031905824
V133,0.0038402146
V116,8.573761e-05
V111,0.00013229402
V307,0.013396289
V318,0.0050614905
D14,0.0013967677
addr2,0.00044441925
D13,0.024253655
id_21,0.00010805603
V215,0.00044808642
V140,0.00181942
id_23,1.0474715e-05
V292,0.00086691533
V278,0.00033312646
V128,0.009169393
V109,0.0012805852
id_11,0.0016887066
V41,0.0
V25,0.0023854298
V14,7.765262e-06
V234,0.0013753907
id_26,0.000418208
V320,0.015002489
V119,2.4923331e-06
V134,0.0016665657
V13,0.0052143447
id_18,0.0046355417
id_05,0.018202506
V7,0.0033334072
id_08,0.00034938904
V150,0.0012214188
M8,0.017751316
V272,0.0007048626
V127,0.00781676
V126,0.007388172
V209,0.0009007028
V216,0.00021601317
V276,0.0030215438
V124,0.0058860797
V102,0.011764353
V267,0.0009555564
V295,0.0011830291
V3,0.0011828475
V152,0.003924267
V236,0.00013356107
V132,0.0012425669
V285,0.032220043
V185,0.00015505034
V271,0.0009042005
V239,0.000119242504
V184,0.00036685372
V270,0.0007237807
V208,0.0009414231
V214,0.0012976628
V210,0.00085151475
V99,0.019925106
V306,0.0032836236
V182,0.00016661115
V136,0.009442922
V165,0.014586721
V268,0.00081991166
V103,0.00072376616
V237,2.7673766e-05
V238,0.00021222672
V316,0.014321515
V180,0.0014341973
V95,0.005594898
V131,0.0054977457
V101,0.00054647337
V281,0.01545651
V235,7.348283e-05
V207,0.00081668206
V181,0.00043378407
V280,0.0056262272
V183,0.000119367585
V266,0.0017144629
id_38,0.013183266
id_03,0.0026705554
V291,0.011232826
V137,0.0025091108
id_09,0.006071933
V309,0.006486228
V146,0.00022861126
V145,0.0004956296
V147,0.0004023816
V227,0.00011464702
V296,0.005526382
V321,0.0011298887
V205,0.0017882946
V143,0.0019157892
C3,0.0106087085
V135,0.0017313022
V224,0.0017154001
V293,0.0061525516
V324,0.0010707381
V333,0.0020147783
V319,0.0050841575
V164,0.00085449
V166,0.0017839922
V338,0.00026653343
V175,0.00028074937
V279,0.0016341137
V160,0.0012745169
V339,0.0022448376
V96,0.0042659715
V169,0.0010799594
V144,0.00033887266
V225,0.000568808
id_15,0.0034162186
V97,0.0006330786
V335,0.0015741272
V220,0.0004102487
V311,0.0075001474
V100,0.0022197624
M7,0.005585551
V323,0.0013409351
V330,0.001189093
V332,0.0015216927
V327,0.00012311888
